Zona Operativa,Coordenadas del Poligono
ALM043A,"-58.4211962381,-34.6097882572,0 -58.4211731278,-34.6100513941,0 -58.4210735531,-34.6101125088,0 -58.4209257812,-34.6112553865,0 -58.4200050996,-34.6109678825,0 -58.4200089187,-34.6108429176,0 -58.4195166418,-34.6108016841,0 -58.4195043172,-34.6109323163,0 -58.4189200139,-34.6108786936,0 -58.4186271106,-34.6108580518,0 -58.4186936043,-34.6099236815,0 -58.4186989077,-34.6098015912,0 -58.4194061002,-34.6098380897,0 -58.4194260715,-34.6092651235,0 -58.4197379597,-34.6093340730,0 -58.4211962381,-34.6097882572,0"
ALM043B,"-58.4209257812,-34.6112553865,0 -58.4209859605,-34.6113645994,0 -58.4209569418,-34.6115770544,0 -58.4208366698,-34.6116168650,0 -58.4198825890,-34.6113678358,0 -58.4198057026,-34.6112796661,0 -58.4195823373,-34.6112637346,0 -58.4194519339,-34.6113315130,0 -58.4188682887,-34.6112717308,0 -58.4189200139,-34.6108786936,0 -58.4195043172,-34.6109323163,0 -58.4195166418,-34.6108016841,0 -58.4200089187,-34.6108429176,0 -58.4200050996,-34.6109678825,0 -58.4209257812,-34.6112553865,0"
Zona no identificada,"-58.4186472660,-34.6112490915,0 -58.4186016536,-34.6111696277,0 -58.4183367141,-34.6111444870,0 -58.4181742133,-34.6112207960,0 -58.4174923460,-34.6111616631,0 -58.4174448943,-34.6113156872,0 -58.4169734999,-34.6112187760,0 -58.4170161844,-34.6110851204,0 -58.4171412032,-34.6110233514,0 -58.4171491415,-34.6109147728,0 -58.4170733300,-34.6107957120,0 -58.4173140635,-34.6108057491,0 -58.4173633508,-34.6107730264,0 -58.4182537324,-34.6108626057,0 -58.4183286051,-34.6099028677,0 -58.4186936043,-34.6099236815,0 -58.4186271106,-34.6108580518,0 -58.4189200139,-34.6108786936,0 -58.4188682887,-34.6112717308,0 -58.4186472660,-34.6112490915,0"
ALM043D,"-58.4186936043,-34.6099236815,0 -58.4183286051,-34.6099028677,0 -58.4183395748,-34.6097622568,0 -58.4183830003,-34.6097293747,0 -58.4183977428,-34.6095674460,0 -58.4183499940,-34.6095226245,0 -58.4183783897,-34.6092174499,0 -58.4184352946,-34.6091866768,0 -58.4185226391,-34.6090234686,0 -58.4188337415,-34.6091341744,0 -58.4194260715,-34.6092651235,0 -58.4194061002,-34.6098380897,0 -58.4186989077,-34.6098015912,0 -58.4186936043,-34.6099236815,0"
ALM044A,"-58.4053266156,-34.6137003918,0 -58.4054714741,-34.6136249952,0 -58.4056189941,-34.6136366642,0 -58.4057378602,-34.6131244058,0 -58.4055145605,-34.6131024429,0 -58.4055364673,-34.6130170630,0 -58.4059837749,-34.6130791192,0 -58.4058984922,-34.6133873267,0 -58.4067807793,-34.6135489273,0 -58.4068359100,-34.6136032738,0 -58.4067473920,-34.6137906590,0 -58.4066546436,-34.6138430314,0 -58.4065713199,-34.6141557138,0 -58.4069022719,-34.6142265793,0 -58.4067736041,-34.6147255805,0 -58.4066697746,-34.6147701047,0 -58.4066284110,-34.6149162126,0 -58.4066183696,-34.6149147078,0 -58.4053086279,-34.6147220305,0 -58.4047289492,-34.6146899621,0 -58.4047406509,-34.6144789048,0 -58.4050923397,-34.6144998721,0 -58.4053266156,-34.6137003918,0"
ALM044B,"-58.4059837749,-34.6130791192,0 -58.4055364673,-34.6130170630,0 -58.4056314907,-34.6126467059,0 -58.4057390970,-34.6125678982,0 -58.4057814249,-34.6123985149,0 -58.4060825011,-34.6124145661,0 -58.4061943788,-34.6123517401,0 -58.4071372729,-34.6124010563,0 -58.4072033233,-34.6124798808,0 -58.4071447865,-34.6126485761,0 -58.4070576171,-34.6126950082,0 -58.4067807793,-34.6135489273,0 -58.4058984922,-34.6133873267,0 -58.4059837749,-34.6130791192,0"
ALM044C,"-58.4070576171,-34.6126950082,0 -58.4071447865,-34.6126485761,0 -58.4072033233,-34.6124798808,0 -58.4073914587,-34.6124932767,0 -58.4075241613,-34.6124355623,0 -58.4088387391,-34.6125357784,0 -58.4089193736,-34.6126143028,0 -58.4091540557,-34.6126217354,0 -58.4091365967,-34.6127998175,0 -58.4092079879,-34.6128685275,0 -58.4091708362,-34.6133981405,0 -58.4087534252,-34.6133819140,0 -58.4087180292,-34.6138628353,0 -58.4071287057,-34.6135744091,0 -58.4070184292,-34.6136345187,0 -58.4068359100,-34.6136032738,0 -58.4067807793,-34.6135489273,0 -58.4070576171,-34.6126950082,0"
ALM044D,"-58.4069022719,-34.6142265793,0 -58.4065713199,-34.6141557138,0 -58.4066546436,-34.6138430314,0 -58.4067473920,-34.6137906590,0 -58.4068359100,-34.6136032738,0 -58.4070184292,-34.6136345187,0 -58.4071287057,-34.6135744091,0 -58.4087180292,-34.6138628353,0 -58.4087879283,-34.6139485772,0 -58.4087597600,-34.6141447198,0 -58.4086817408,-34.6141966974,0 -58.4085212666,-34.6149796242,0 -58.4078428699,-34.6148811516,0 -58.4076993739,-34.6149301260,0 -58.4076694792,-34.6150722678,0 -58.4066284110,-34.6149162126,0 -58.4066697746,-34.6147701047,0 -58.4067736041,-34.6147255805,0 -58.4069022719,-34.6142265793,0"
ALM045A,"-58.4033267268,-34.6124813911,0 -58.4033845184,-34.6124291387,0 -58.4033942373,-34.6122507841,0 -58.4036439138,-34.6122764407,0 -58.4036342321,-34.6124454817,0 -58.4037545239,-34.6125565197,0 -58.4036957837,-34.6132786498,0 -58.4035716476,-34.6133664454,0 -58.4033213945,-34.6133681034,0 -58.4032945670,-34.6133422874,0 -58.4032665120,-34.6133402031,0 -58.4030220731,-34.6133220455,0 -58.4030294825,-34.6132355082,0 -58.4032718952,-34.6132499872,0 -58.4033267268,-34.6124813911,0"
ALM045B,"-58.4044507688,-34.6135816711,0 -58.4046342344,-34.6135894392,0 -58.4047537637,-34.6136881219,0 -58.4053266156,-34.6137003918,0 -58.4050923397,-34.6144998721,0 -58.4047406509,-34.6144789048,0 -58.4047289492,-34.6146899621,0 -58.4043437980,-34.6146718134,0 -58.4032534860,-34.6146080612,0 -58.4034971747,-34.6144864445,0 -58.4035933676,-34.6144008152,0 -58.4042435223,-34.6144275261,0 -58.4043444476,-34.6136576237,0 -58.4044507688,-34.6135816711,0"
ALM045C,"-58.4037545239,-34.6125565197,0 -58.4036342321,-34.6124454817,0 -58.4036439138,-34.6122764407,0 -58.4037271589,-34.6122199921,0 -58.4045304085,-34.6122606130,0 -58.4046283480,-34.6123361263,0 -58.4048115621,-34.6123464136,0 -58.4049101863,-34.6122841076,0 -58.4057160358,-34.6123210945,0 -58.4057814249,-34.6123985149,0 -58.4057390970,-34.6125678982,0 -58.4056314907,-34.6126467059,0 -58.4055145605,-34.6131024429,0 -58.4057378602,-34.6131244058,0 -58.4056189941,-34.6136366642,0 -58.4054714741,-34.6136249952,0 -58.4053266156,-34.6137003918,0 -58.4047537637,-34.6136881219,0 -58.4046342344,-34.6135894392,0 -58.4044507688,-34.6135816711,0 -58.4043444476,-34.6136576237,0 -58.4041454996,-34.6136505683,0 -58.4041801272,-34.6133001795,0 -58.4036957837,-34.6132786498,0 -58.4037545239,-34.6125565197,0"
ALM045D,"-58.4033153740,-34.6135363395,0 -58.4031764470,-34.6135296942,0 -58.4031801921,-34.6134578455,0 -58.4033148358,-34.6134624374,0 -58.4033213945,-34.6133681034,0 -58.4035716476,-34.6133664454,0 -58.4036957837,-34.6132786498,0 -58.4041801272,-34.6133001795,0 -58.4041454996,-34.6136505683,0 -58.4043444476,-34.6136576237,0 -58.4042435223,-34.6144275261,0 -58.4035933676,-34.6144008152,0 -58.4034971747,-34.6144864445,0 -58.4032534860,-34.6146080612,0 -58.4032480616,-34.6144712095,0 -58.4031256660,-34.6143808331,0 -58.4031857086,-34.6136216449,0 -58.4033153740,-34.6135363395,0"
ALM046,"-58.4049431391,-34.6111733658,0 -58.4047484129,-34.6113563105,0 -58.4046236566,-34.6114443731,0 -58.4045304085,-34.6122606130,0 -58.4037271589,-34.6122199921,0 -58.4036439138,-34.6122764407,0 -58.4033942384,-34.6122507841,0 -58.4033310164,-34.6121883526,0 -58.4021434313,-34.6121118060,0 -58.4022040699,-34.6112760629,0 -58.4028207785,-34.6113177095,0 -58.4028284916,-34.6112299964,0 -58.4028598127,-34.6112314719,0 -58.4028547682,-34.6113172578,0 -58.4033901716,-34.6113564190,0 -58.4034008801,-34.6112707983,0 -58.4034440775,-34.6112739153,0 -58.4034698756,-34.6111113305,0 -58.4033878633,-34.6110410037,0 -58.4033990305,-34.6103046328,0 -58.4035022794,-34.6102261737,0 -58.4035058198,-34.6101713084,0 -58.4047283105,-34.6102363176,0 -58.4050374513,-34.6102521343,0 -58.4050337356,-34.6103227145,0 -58.4051156468,-34.6103979115,0 -58.4050560359,-34.6111094175,0 -58.4049431391,-34.6111733658,0"
ALM047A,"-58.4078022191,-34.6116006576,0 -58.4087646182,-34.6116822475,0 -58.4087868731,-34.6115062112,0 -58.4090270106,-34.6115272519,0 -58.4090282932,-34.6114500088,0 -58.4091217526,-34.6115792065,0 -58.4092453866,-34.6116649539,0 -58.4093262134,-34.6117440278,0 -58.4092544317,-34.6125696263,0 -58.4091540553,-34.6126217353,0 -58.4089193736,-34.6126143028,0 -58.4088387391,-34.6125357784,0 -58.4075241613,-34.6124355623,0 -58.4078022191,-34.6116006576,0"
ALM047B,"-58.4076410193,-34.6113233742,0 -58.4075890948,-34.6112645080,0 -58.4078455389,-34.6104786720,0 -58.4066497482,-34.6103849959,0 -58.4065933217,-34.6103205599,0 -58.4066069841,-34.6101956829,0 -58.4090522758,-34.6103785399,0 -58.4090703156,-34.6105110792,0 -58.4089718676,-34.6106012714,0 -58.4089443002,-34.6113667836,0 -58.4090282928,-34.6114500084,0 -58.4090270106,-34.6115272519,0 -58.4087868731,-34.6115062112,0 -58.4087646182,-34.6116822475,0 -58.4078022191,-34.6116006576,0 -58.4077519633,-34.6115296936,0 -58.4078208194,-34.6113420991,0 -58.4076410193,-34.6113233742,0"
ALM047C,"-58.4050374513,-34.6102521343,0 -58.4062289855,-34.6103317153,0 -58.4064142080,-34.6101812651,0 -58.4064411898,-34.6102183426,0 -58.4062348183,-34.6112082479,0 -58.4060841058,-34.6112057206,0 -58.4060227384,-34.6111473138,0 -58.4058560136,-34.6111299820,0 -58.4058094682,-34.6114466688,0 -58.4059549330,-34.6114465808,0 -58.4060366139,-34.6113971269,0 -58.4061816109,-34.6114028594,0 -58.4059319625,-34.6124065402,0 -58.4057814249,-34.6123985149,0 -58.4057160358,-34.6123210945,0 -58.4049101863,-34.6122841076,0 -58.4048115621,-34.6123464136,0 -58.4046283480,-34.6123361263,0 -58.4045304085,-34.6122606130,0 -58.4046236566,-34.6114443731,0 -58.4047484129,-34.6113563105,0 -58.4049431391,-34.6111733658,0 -58.4050560359,-34.6111094175,0 -58.4051156468,-34.6103979115,0 -58.4050337356,-34.6103227145,0 -58.4050374513,-34.6102521343,0"
ALM047D,"-58.4075241613,-34.6124355623,0 -58.4073914587,-34.6124932767,0 -58.4072033239,-34.6124798812,0 -58.4071372729,-34.6124010563,0 -58.4061943788,-34.6123517401,0 -58.4060825017,-34.6124145663,0 -58.4059319630,-34.6124065406,0 -58.4061816112,-34.6114028591,0 -58.4060366141,-34.6113971271,0 -58.4059549330,-34.6114465806,0 -58.4058094685,-34.6114466692,0 -58.4058560132,-34.6111299817,0 -58.4060227386,-34.6111473137,0 -58.4060841063,-34.6112057204,0 -58.4062348186,-34.6112082483,0 -58.4064411899,-34.6102183428,0 -58.4064142080,-34.6101812651,0 -58.4066069841,-34.6101956829,0 -58.4065933217,-34.6103205599,0 -58.4066497482,-34.6103849959,0 -58.4078455389,-34.6104786720,0 -58.4075890948,-34.6112645080,0 -58.4076410193,-34.6113233742,0 -58.4078208194,-34.6113420991,0 -58.4077519633,-34.6115296936,0 -58.4078022191,-34.6116006576,0 -58.4075241613,-34.6124355623,0"
ALM048A,"-58.4060611170,-34.6055808036,0 -58.4061585214,-34.6055560067,0 -58.4063080883,-34.6055241706,0 -58.4061359910,-34.6047809325,0 -58.4059618728,-34.6047449021,0 -58.4059392526,-34.6046285820,0 -58.4071332688,-34.6044740174,0 -58.4071799097,-34.6046008656,0 -58.4072776827,-34.6046602275,0 -58.4074722450,-34.6053364174,0 -58.4074086587,-34.6054172005,0 -58.4074607431,-34.6055972531,0 -58.4075504668,-34.6056668559,0 -58.4075882559,-34.6057895668,0 -58.4071890447,-34.6058367093,0 -58.4074143105,-34.6065126926,0 -58.4064913185,-34.6064689896,0 -58.4064466265,-34.6065224198,0 -58.4063040254,-34.6065164504,0 -58.4061705141,-34.6059769452,0 -58.4060611170,-34.6055808036,0"
ALM048B,"-58.4082121342,-34.6077759269,0 -58.4081521219,-34.6078295454,0 -58.4081991353,-34.6080992827,0 -58.4104851157,-34.6081074833,0 -58.4105885245,-34.6080233482,0 -58.4107029655,-34.6079131059,0 -58.4106486811,-34.6091611282,0 -58.4105360315,-34.6091559686,0 -58.4104514837,-34.6090516184,0 -58.4091657726,-34.6089740765,0 -58.4091479252,-34.6091984001,0 -58.4064434066,-34.6090209333,0 -58.4064695542,-34.6079817891,0 -58.4064770841,-34.6078878073,0 -58.4064810872,-34.6078115831,0 -58.4064573927,-34.6077925929,0 -58.4064713081,-34.6073511132,0 -58.4063040254,-34.6065164504,0 -58.4064466265,-34.6065224198,0 -58.4064913185,-34.6064689896,0 -58.4074143105,-34.6065126926,0 -58.4071890447,-34.6058367093,0 -58.4075882559,-34.6057895668,0 -58.4075504668,-34.6056668559,0 -58.4083904044,-34.6055952975,0 -58.4087718282,-34.6065548184,0 -58.4089213077,-34.6066372468,0 -58.4089932065,-34.6068270580,0 -58.4089462310,-34.6068785476,0 -58.4092291187,-34.6076221957,0 -58.4092128859,-34.6077756826,0 -58.4082121342,-34.6077759269,0"
ALM048C,"-58.4094466402,-34.6078329324,0 -58.4094452189,-34.6081037583,0 -58.4081991353,-34.6080992827,0 -58.4081521219,-34.6078295454,0 -58.4082121342,-34.6077759269,0 -58.4092128859,-34.6077756826,0 -58.4092291187,-34.6076221957,0 -58.4089462310,-34.6068785476,0 -58.4089932065,-34.6068270580,0 -58.4089213077,-34.6066372468,0 -58.4087718282,-34.6065548184,0 -58.4083904044,-34.6055952975,0 -58.4085001005,-34.6055065476,0 -58.4086890602,-34.6054921582,0 -58.4088326504,-34.6055581825,0 -58.4095316099,-34.6054997821,0 -58.4100143286,-34.6066472808,0 -58.4101009369,-34.6067043030,0 -58.4101747275,-34.6068948034,0 -58.4101230746,-34.6069514665,0 -58.4092959434,-34.6069003643,0 -58.4095669710,-34.6076024442,0 -58.4095308845,-34.6077761259,0 -58.4094466402,-34.6078329324,0"
Zona no identificada,"-58.4104851157,-34.6081074833,0 -58.4094452189,-34.6081037583,0 -58.4094466402,-34.6078329324,0 -58.4095308845,-34.6077761259,0 -58.4095669710,-34.6076024442,0 -58.4092959434,-34.6069003643,0 -58.4101230746,-34.6069514665,0 -58.4101747275,-34.6068948034,0 -58.4101009369,-34.6067043030,0 -58.4100143286,-34.6066472808,0 -58.4095316099,-34.6054997821,0 -58.4096026388,-34.6054132563,0 -58.4098471233,-34.6053921135,0 -58.4099571396,-34.6054612472,0 -58.4104019973,-34.6065789149,0 -58.4103456512,-34.6066930822,0 -58.4104209874,-34.6068689228,0 -58.4105486567,-34.6069246889,0 -58.4108597614,-34.6077302582,0 -58.4107890976,-34.6078301327,0 -58.4107029655,-34.6079131059,0 -58.4105885245,-34.6080233482,0 -58.4104851157,-34.6081074833,0"
ALM049A,"-58.4096004576,-34.6044321002,0 -58.4098185145,-34.6050991751,0 -58.4097740724,-34.6051867580,0 -58.4095301435,-34.6052105794,0 -58.4094215024,-34.6051573354,0 -58.4086995957,-34.6052206336,0 -58.4084581019,-34.6045322856,0 -58.4091452526,-34.6044170486,0 -58.4091839470,-34.6045333678,0 -58.4092655936,-34.6045115959,0 -58.4094984165,-34.6044555722,0 -58.4096004576,-34.6044321002,0"
ALM049B,"-58.4084581019,-34.6045322856,0 -58.4086995957,-34.6052206336,0 -58.4086203223,-34.6052993109,0 -58.4084313256,-34.6053177178,0 -58.4082920043,-34.6052683951,0 -58.4074722450,-34.6053364174,0 -58.4072776827,-34.6046602275,0 -58.4079324463,-34.6045742621,0 -58.4078884401,-34.6043674721,0 -58.4082618947,-34.6043147805,0 -58.4083052461,-34.6044596856,0 -58.4084581019,-34.6045322856,0"
ALM049C,"-58.4071332688,-34.6044740174,0 -58.4078064234,-34.6043790443,0 -58.4078884401,-34.6043674721,0 -58.4079324463,-34.6045742621,0 -58.4072776827,-34.6046602275,0 -58.4071799097,-34.6046008656,0 -58.4071332688,-34.6044740174,0"
ALM049D,"-58.4082618947,-34.6043147805,0 -58.4090686736,-34.6042009454,0 -58.4091069959,-34.6041046456,0 -58.4093355576,-34.6040756106,0 -58.4094457920,-34.6043159815,0 -58.4095904463,-34.6044014755,0 -58.4096004576,-34.6044321002,0 -58.4094984165,-34.6044555722,0 -58.4092655936,-34.6045115959,0 -58.4091839470,-34.6045333678,0 -58.4091452526,-34.6044170486,0 -58.4084581019,-34.6045322856,0 -58.4083052461,-34.6044596856,0 -58.4082618947,-34.6043147805,0"
ALM050A,"-58.3985150357,-34.6027842435,0 -58.3984781930,-34.6030991568,0 -58.3975338237,-34.6030600857,0 -58.3974586277,-34.6030537161,0 -58.3973658007,-34.6030458530,0 -58.3974348542,-34.6023610979,0 -58.3973923329,-34.6023157331,0 -58.3974122933,-34.6021195178,0 -58.3974996875,-34.6020550610,0 -58.3976274353,-34.6020569293,0 -58.3985665123,-34.6020706139,0 -58.3986792141,-34.6021517615,0 -58.3988844653,-34.6023534957,0 -58.3989516820,-34.6024074996,0 -58.3989135426,-34.6028128205,0 -58.3985150357,-34.6027842435,0"
ALM050B,"-58.3973537509,-34.6031653423,0 -58.3973658007,-34.6030458530,0 -58.3974586277,-34.6030537161,0 -58.3974275779,-34.6035774288,0 -58.3984158081,-34.6036185215,0 -58.3983520852,-34.6044541866,0 -58.3972238360,-34.6044256953,0 -58.3973180133,-34.6034554052,0 -58.3972755574,-34.6034061593,0 -58.3972965931,-34.6032075670,0 -58.3973537509,-34.6031653423,0"
ALM028C,"-58.3997322533,-34.6032311218,0 -58.3998048260,-34.6032990731,0 -58.3997844318,-34.6034972047,0 -58.3996857648,-34.6035711972,0 -58.3988207122,-34.6035044678,0 -58.3988058717,-34.6036296332,0 -58.3984158081,-34.6036185215,0 -58.3974275779,-34.6035774288,0 -58.3974586277,-34.6030537161,0 -58.3975338237,-34.6030600857,0 -58.3984781930,-34.6030991568,0 -58.3985150357,-34.6027842435,0 -58.3989135426,-34.6028128205,0 -58.3988798328,-34.6031710688,0 -58.3997322533,-34.6032311218,0"
ALM050D,"-58.3996857648,-34.6035711972,0 -58.3996041056,-34.6044727041,0 -58.3997852881,-34.6047122944,0 -58.3986669649,-34.6046807443,0 -58.3971548964,-34.6046137671,0 -58.3971640784,-34.6044720660,0 -58.3972238360,-34.6044256953,0 -58.3983520852,-34.6044541866,0 -58.3984158081,-34.6036185215,0 -58.3988058717,-34.6036296332,0 -58.3988207122,-34.6035044678,0 -58.3996857648,-34.6035711972,0"
ALM051A,"-58.4036761897,-34.6009131916,0 -58.4035460115,-34.6008491368,0 -58.4034826712,-34.6002577271,0 -58.4035534805,-34.6001596875,0 -58.4037955159,-34.6001332375,0 -58.4039319445,-34.6002116974,0 -58.4039485263,-34.6003587459,0 -58.4047396096,-34.6002999716,0 -58.4048931091,-34.6008092637,0 -58.4051347260,-34.6017988932,0 -58.4050243960,-34.6018133156,0 -58.4049345760,-34.6017624084,0 -58.4041316422,-34.6018493833,0 -58.4040774513,-34.6019090994,0 -58.4038352656,-34.6019335678,0 -58.4037485403,-34.6018773896,0 -58.4036412670,-34.6011774969,0 -58.4037075600,-34.6011103250,0 -58.4036761897,-34.6009131916,0"
Zona no identificada,"-58.4025167910,-34.6014797964,0 -58.4028771231,-34.6014935106,0 -58.4028894295,-34.6012455413,0 -58.4036412670,-34.6011774969,0 -58.4037485403,-34.6018773896,0 -58.4038352656,-34.6019335678,0 -58.4038383468,-34.6021431901,0 -58.4037747059,-34.6022083823,0 -58.4027938874,-34.6023148566,0 -58.4027543044,-34.6033091371,0 -58.4026449212,-34.6033796316,0 -58.4024461125,-34.6033817302,0 -58.4023728271,-34.6033123444,0 -58.4024385991,-34.6023699172,0 -58.4025412484,-34.6022742530,0 -58.4025593718,-34.6020625090,0 -58.4024832986,-34.6019947984,0 -58.4025167910,-34.6014797964,0"
ALM051C,"-58.4056014682,-34.6046815280,0 -58.4040731086,-34.6048719799,0 -58.4040486202,-34.6047053182,0 -58.4041204418,-34.6046315118,0 -58.4041155509,-34.6035941790,0 -58.4040604851,-34.6035436429,0 -58.4040630622,-34.6033647096,0 -58.4041244328,-34.6033174832,0 -58.4041205729,-34.6032032117,0 -58.4037667470,-34.6032100109,0 -58.4037747059,-34.6022083823,0 -58.4038383468,-34.6021431901,0 -58.4038352656,-34.6019335678,0 -58.4040774513,-34.6019090994,0 -58.4041316422,-34.6018493833,0 -58.4049345760,-34.6017624084,0 -58.4050243960,-34.6018133156,0 -58.4051347260,-34.6017988932,0 -58.4055002702,-34.6032960757,0 -58.4057234998,-34.6045355957,0 -58.4055741900,-34.6045509278,0 -58.4056014682,-34.6046815280,0"
ALM051B,"-58.4037747064,-34.6022083823,0 -58.4037667476,-34.6032100110,0 -58.4041205725,-34.6032032115,0 -58.4041244324,-34.6033174836,0 -58.4040630627,-34.6033647096,0 -58.4040604847,-34.6035436427,0 -58.4041155505,-34.6035941789,0 -58.4041204422,-34.6046315119,0 -58.4040486198,-34.6047053181,0 -58.4040731086,-34.6048719794,0 -58.4039179832,-34.6048875628,0 -58.4025835852,-34.6048353454,0 -58.4023274497,-34.6048240846,0 -58.4023397646,-34.6046584228,0 -58.4022645693,-34.6045844405,0 -58.4023320652,-34.6036540227,0 -58.4024298909,-34.6035722856,0 -58.4024461125,-34.6033817302,0 -58.4026449210,-34.6033796317,0 -58.4027543047,-34.6033091369,0 -58.4027938878,-34.6023148565,0 -58.4037747064,-34.6022083823,0"
ALM052A,"-58.4065049187,-34.6015445632,0 -58.4069655419,-34.6014886364,0 -58.4067366114,-34.6007248547,0 -58.4071690248,-34.6006871942,0 -58.4072123471,-34.6008086110,0 -58.4072793001,-34.6008471359,0 -58.4074654853,-34.6014242882,0 -58.4074289345,-34.6015104492,0 -58.4074753113,-34.6016649426,0 -58.4075547468,-34.6016964531,0 -58.4079349070,-34.6028888785,0 -58.4078635145,-34.6029949347,0 -58.4076534684,-34.6030222690,0 -58.4075501093,-34.6029574311,0 -58.4069256377,-34.6030261407,0 -58.4065426530,-34.6018359433,0 -58.4064716013,-34.6017989508,0 -58.4064236099,-34.6016446215,0 -58.4065049187,-34.6015445632,0"
ALM052B,"-58.4064236099,-34.6016446215,0 -58.4064716013,-34.6017989508,0 -58.4065426530,-34.6018359433,0 -58.4069256377,-34.6030261407,0 -58.4068594971,-34.6031251607,0 -58.4065859691,-34.6031604484,0 -58.4064411522,-34.6031012555,0 -58.4057067437,-34.6031862091,0 -58.4056396958,-34.6032819737,0 -58.4055002702,-34.6032960757,0 -58.4048931091,-34.6008092637,0 -58.4050179291,-34.6007981710,0 -58.4050871188,-34.6006937298,0 -58.4052085717,-34.6006852536,0 -58.4054581258,-34.6016947521,0 -58.4059925617,-34.6016331574,0 -58.4061478451,-34.6016811895,0 -58.4064236099,-34.6016446215,0"
